datum,M01AB_daily,M01AE_daily,N02BA_daily,N02BE_daily,N05B_daily,N05C_daily,R03_daily,R06_daily,M01AB_from_hourly,M01AE_from_hourly,N02BA_from_hourly,N02BE_from_hourly,N05B_from_hourly,N05C_from_hourly,R03_from_hourly,R06_from_hourly
2014-01-02,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0
2014-01-03,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0
2014-01-04,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0
2014-01-05,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0
2014-01-06,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-08,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0
2014-01-09,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,7.0,1.6800000000000002,8.0,25.0,16.0,0.0,3.0,2.0
2014-01-10,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0
2014-01-11,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2
2014-01-12,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0
2014-01-13,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0
2014-01-14,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0
2014-01-15,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0
2014-01-16,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0
2014-01-17,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0
2014-01-18,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0
2014-01-19,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0
2014-01-20,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0
2014-01-21,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0
2014-01-22,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0
2014-01-23,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0
2014-01-24,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0
2014-01-25,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0
2014-01-26,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,4.33,1.6800000000000002,0.0,24.0,4.0,0.0,0.0,0.0
2014-01-27,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0
2014-01-28,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0
2014-01-29,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0
2014-01-30,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,3.0200000000000005,1.34,2.4,25.5,7.0,1.0,3.0,2.0
2014-01-31,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0
2014-02-01,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0
2014-02-02,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0
2014-02-03,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0
2014-02-04,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0
2014-02-05,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0
2014-02-06,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0
2014-02-07,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0
2014-02-08,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0
2014-02-09,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0
2014-02-10,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0
2014-02-11,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2
2014-02-12,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0
2014-02-13,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0
2014-02-14,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0
2014-02-15,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0
2014-02-16,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,0.0,1.6800000000000002,1.2,34.0,5.0,2.0,3.0,1.0
2014-02-17,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0
2014-02-18,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0
2014-02-19,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0
