datum,M01AB_monthly,M01AE_monthly,N02BA_monthly,N02BE_monthly,N05B_monthly,N05C_monthly,R03_monthly,R06_monthly,M01AB_from_daily,M01AE_from_daily,N02BA_from_daily,N02BE_from_daily,N05B_from_daily,N05C_from_daily,R03_from_daily,R06_from_daily
2014-01-31,127.69,99.09000000000005,152.09999999999997,878.0300000000002,354.0,50.0,112.0,48.2,127.69,99.09,152.1,878.03,354.0,30.0,112.0,48.2
2014-02-28,133.32,126.0500000000001,176.99999999999997,1001.9,347.0,31.0,122.0,36.2,133.32,126.05,177.0,1001.9,347.0,31.0,122.0,36.2
2014-03-31,137.44000000000003,92.95000000000007,147.655,779.275,232.0,20.0,112.0,85.4,137.44,92.95,147.655,779.275,232.0,20.0,112.0,85.4
2014-04-30,113.10000000000004,89.47500000000008,130.89999999999998,698.5,209.0,18.0,97.0,73.7,113.1,89.475,125.15,698.5,209.0,18.0,97.0,73.7
2014-05-31,101.79000000000003,119.93300000000008,132.1,628.7800000000001,270.0,23.0,107.0,123.7,101.78999999999999,119.93299999999999,132.1,628.78,270.0,23.0,107.0,123.7
2014-06-30,112.07000000000002,94.71000000000006,122.9,548.225,323.0,23.0,57.0,109.3,112.07,94.71,122.9,548.225,323.0,23.0,57.0,109.3
2014-07-31,117.06000000000002,95.01000000000012,129.3,491.9,348.0,21.0,61.0,69.1,117.06,95.00999999999999,129.3,491.9,348.0,21.0,61.0,69.1
2014-08-31,134.79000000000005,99.7800000000001,123.8,583.8499999999999,420.0,29.0,37.0,70.80000000000001,124.78999999999999,99.78,123.8,547.35,420.0,29.0,37.0,70.8
2014-09-30,108.78000000000004,109.0940000000001,122.09999999999998,887.8199999999999,399.0,14.0,115.0,58.8,108.78,109.094,112.1,887.8199999999999,399.0,14.0,115.0,58.8
2014-10-31,154.75000000000003,185.2410000000001,191.59999999999997,1856.8149999999991,472.0,30.0,182.0,74.5,101.195,108.7513125,140.5375,1073.136875,432.0625,19.625,160.0,46.6875
2014-11-30,138.08000000000004,100.86000000000004,142.7,723.8,489.0,19.0,112.0,45.2,138.08,100.86,142.7,723.8,489.0,19.0,112.0,45.2
2014-12-31,131.90000000000003,121.40100000000004,111.124,1015.66,492.0,25.0,163.0,33.4,131.9,121.401,111.124,1015.66,492.0,25.0,163.0,33.4
2015-01-31,135.91000000000005,130.34900000000005,141.0,1044.2400000000002,463.0,24.0,177.25,42.0,135.91,130.349,141.0,1044.24,463.0,24.0,177.25,42.0
2015-02-28,115.71,123.73999999999997,131.83,953.252,243.0,9.0,208.0,47.0,115.71,123.74,131.83,953.2520000000001,243.0,9.0,208.0,47.0
2015-03-31,156.04000000000005,129.38599999999997,133.8,1084.85,208.0,13.0,195.0,54.0,156.04,129.386,133.8,1084.85,208.0,13.0,170.0,54.0
2015-04-30,154.5,101.115,122.1,940.17,192.0,5.0,97.0,112.0,154.5,101.115,122.10000000000001,940.17,192.0,5.0,97.0,112.0
