datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
1/5/2014,34.565,11.67,21.3,185.95,41.0,0.0,32.0,7.0
1/12/2014,29.33,12.68,37.9,190.7,88.0,5.0,21.0,7.2
1/19/2014,30.67,26.34,45.9,218.4,80.0,8.0,29.0,12.0
1/26/2014,34.0,32.37,31.5,179.6,80.0,8.0,23.0,10.0
2/2/2014,31.02,23.35,20.7,159.88,84.0,3.96874999975,29.0,12.0
2/9/2014,22.65,29.72,26.5,226.8,57.0,7.0,31.0,6.0
2/16/2014,33.33,30.69,47.3,320.7,89.0,3.9791666665000003,18.0,16.2
2/23/2014,39.01,34.25,44.2,232.7,57.0,5.0,35.0,7.0
3/2/2014,36.68,28.75,40.355,222.5,52.0,2.0,16.0,10.1
3/9/2014,25.02,21.11,31.8,202.375,48.0,4.0,16.0,9.2
3/16/2014,32.35,23.77,36.2,164.8,90.0,5.0,36.0,19.0
3/23/2014,39.36,23.72,26.1,202.8,36.0,4.0,27.0,23.6
3/30/2014,25.69,17.33,36.2,136.6,42.0,6.0,29.0,24.5
4/6/2014,19.68,22.05,36.4,153.7,31.0,7.0,27.0,20.0
4/13/2014,36.03,20.38,21.2,141.0,46.0,4.0,22.0,20.3
4/20/2014,27.36,19.38,35.15,134.2,59.0,1.0,24.0,20.0
4/27/2014,26.36,20.215,22.0,182.5,54.0,4.0,16.0,13.0
5/4/2014,22.02,27.16,23.9,176.6,49.0,6.0,24.0,13.9
5/11/2014,24.67,32.485,29.6,151.6,69.0,3.96874999975,15.0,36.0
5/18/2014,22.38,26.4,35.2,154.0,56.0,2.0,42.0,18.5
5/25/2014,25.02,22.278,33.7,115.7,56.0,5.0,20.0,36.6
6/1/2014,17.71,22.08,25.1,143.38,69.0,3.0,19.0,28.1
6/8/2014,23.34,23.06,33.9,154.425,64.0,8.0,19.0,27.5
6/15/2014,29.03,17.4,23.6,95.3,87.0,8.0,20.0,36.8
6/22/2014,31.68,20.73,26.1,106.7,66.0,5.0,11.0,24.0
6/29/2014,21.02,27.5,37.3,156.8,57.0,1.0,6.0,18.0
7/6/2014,27.35,24.74,30.0,135.8,64.0,3.0,8.0,10.0
7/13/2014,26.01,22.38,34.7,122.8,83.0,7.0,27.0,16.2
7/20/2014,33.67,20.76,20.5,96.0,84.0,6.0,12.0,14.4
7/27/2014,28.01,28.77,33.1,116.2,77.0,2.0,8.0,16.0
8/3/2014,20.02,26.7895,23.2,95.1,80.0,9.0,11.0,16.5
8/10/2014,28.36,19.74,28.4,123.6,83.0,8.0,3.0,16.9
8/17/2014,26.02,19.53,34.7,103.4,57.0,5.0,3.0,23.6
8/24/2014,36.36,25.225,20.5,111.2,57.0,7.0,14.0,11.3
8/31/2014,22.05,31.275,29.0,160.15,57.0,3.0,12.0,15.0
9/7/2014,29.7,29.369,23.6,113.72,57.0,5.0,9.0,18.6
9/14/2014,18.7,22.41,22.4,216.35,57.0,0.0,28.0,10.2
9/21/2014,18.02,22.915,28.7,227.1,69.0,3.0,44.0,8.0
